id,nome,cpf,entrada,saida,setor,foto,visitante_id,created_at,updated_at,deleted_at
1,"Lee Nash",363.683.167-16,"2025-03-10 08:17:22","2025-07-09 11:41:54","São Gonçalo do Amarante",null,1,NULL,NULL,NULL
2,"Kelly Hoover",818.166.651-02,"2024-08-06 23:03:47","2023-12-04 16:40:22",Extremoz,null,2,NULL,NULL,NULL
3,"Walter Bridges",917.017.148-80,"2025-03-29 04:01:05","2024-01-19 18:37:07",Extremoz,null,3,NULL,NULL,NULL
4,"Vaughan Sullivan",224.329.543-09,"2025-05-12 08:11:36","2025-02-24 07:01:01",Parnamirim,null,4,NULL,NULL,NULL
5,"Kirsten Henry",213.243.363-10,"2024-07-15 09:21:15","2023-09-17 04:19:02",Macaíba,null,5,NULL,NULL,NULL
6,"Sade Aguirre",076.233.301-30,"2024-09-23 11:54:20","2025-05-30 16:30:09",Natal,null,6,NULL,NULL,NULL
7,"Wilma Shelton",376.533.912-38,"2024-11-29 09:33:39","2023-11-05 05:18:45","São Gonçalo do Amarante",null,7,NULL,NULL,NULL
8,"Herrod Donovan",289.532.688-12,"2024-07-22 03:44:33","2024-07-20 11:14:58","São Gonçalo do Amarante",null,8,NULL,NULL,NULL
9,"Rylee Mccray",837.172.185-96,"2023-09-30 06:01:38","2024-11-17 20:57:56",Parnamirim,null,9,NULL,NULL,NULL
10,"Genevieve Wright",865.625.045-45,"2024-03-19 09:48:32","2024-04-03 07:21:20","São Gonçalo do Amarante",null,10,NULL,NULL,NULL
11,"Jeremy O'Neill",767.282.846-76,"2023-09-03 11:58:31","2024-08-30 03:36:36",Natal,null,11,NULL,NULL,NULL
12,"William Palmer",675.234.435-25,"2023-11-01 17:50:28","2024-02-16 11:59:30",Ceará-Mirim,null,12,NULL,NULL,NULL
13,"Jacob Barnes",558.668.642-63,"2024-08-01 16:54:29","2025-06-06 15:16:35",Natal,null,13,NULL,NULL,NULL
14,"Zachery Castaneda",197.782.644-37,"2025-02-24 19:14:37","2025-07-11 07:24:06",Parnamirim,null,14,NULL,NULL,NULL
15,"Dalton Sims",352.902.873-76,"2025-03-26 23:51:03","2024-07-12 05:22:54",Natal,null,15,NULL,NULL,NULL
16,"Germane Christian",618.178.517-05,"2023-09-16 01:58:03","2023-10-07 02:50:28",Extremoz,null,16,NULL,NULL,NULL
17,"Margaret Lamb",820.619.548-41,"2024-10-14 10:00:35","2023-11-21 04:28:26",Macaíba,null,17,NULL,NULL,NULL
18,"Quin Atkinson",117.597.358-35,"2025-02-26 05:05:29","2023-09-28 15:08:06",Natal,null,18,NULL,NULL,NULL
19,"Finn Houston",680.102.699-15,"2023-12-12 19:40:52","2023-10-06 02:21:39",Macaíba,null,19,NULL,NULL,NULL
20,"Ramona Mathews",470.739.167-45,"2025-01-01 22:30:04","2024-08-12 11:41:19","São Gonçalo do Amarante",null,20,NULL,NULL,NULL
21,"Sebastian Beasley",595.338.438-28,"2023-10-30 19:38:12","2024-06-25 11:37:10",Macaíba,null,21,NULL,NULL,NULL
22,"Adrienne Brown",437.671.441-45,"2024-03-30 20:36:21","2023-11-14 03:05:22","São Gonçalo do Amarante",null,22,NULL,NULL,NULL
23,"Ciaran Grant",363.364.204-33,"2025-04-04 23:49:10","2025-04-07 05:19:30",Natal,null,23,NULL,NULL,NULL
24,"Paki Brock",102.037.383-87,"2024-10-05 03:29:03","2024-04-10 08:02:12",Ceará-Mirim,null,24,NULL,NULL,NULL
25,"Stella Hutchinson",473.259.833-34,"2024-04-06 18:31:43","2024-10-03 14:34:53",Ceará-Mirim,null,25,NULL,NULL,NULL
26,"Carissa Randolph",255.583.111-93,"2025-01-24 14:58:56","2024-10-27 04:06:16",Natal,null,26,NULL,NULL,NULL
27,"Nolan Preston",201.984.842-82,"2023-12-12 11:06:24","2025-07-24 12:38:31","São Gonçalo do Amarante",null,27,NULL,NULL,NULL
28,"Benedict Rollins",487.773.448-31,"2024-01-07 19:11:33","2024-05-20 03:17:48",Macaíba,null,28,NULL,NULL,NULL
29,"Jason Buchanan",165.628.160-50,"2025-07-15 19:53:27","2024-10-26 10:00:29",Ceará-Mirim,null,29,NULL,NULL,NULL
30,"Jermaine Tate",953.043.152-64,"2024-06-09 00:45:20","2023-08-22 01:55:50",Ceará-Mirim,null,30,NULL,NULL,NULL
31,"Jasper Valenzuela",766.048.631-01,"2024-08-04 03:02:34","2025-05-06 09:43:26",Macaíba,null,31,NULL,NULL,NULL
32,"Kylee Vang",489.528.578-07,"2023-10-10 05:01:04","2023-12-02 03:18:21",Natal,null,32,NULL,NULL,NULL
33,"Chaney Schmidt",075.828.777-70,"2024-02-01 05:50:34","2024-03-07 07:32:26",Ceará-Mirim,null,33,NULL,NULL,NULL
34,"Zephania Callahan",722.301.924-52,"2024-02-09 05:13:34","2024-08-19 20:07:52",Natal,null,34,NULL,NULL,NULL
35,"Thane Dunn",754.566.257-77,"2025-01-08 05:52:45","2024-07-10 21:55:06",Parnamirim,null,35,NULL,NULL,NULL
36,"Talon Vasquez",632.423.992-13,"2024-11-12 13:27:36","2025-01-14 07:37:00",Extremoz,null,36,NULL,NULL,NULL
37,"Isaiah Maynard",491.895.317-88,"2025-05-25 07:38:22","2024-01-30 19:18:00","São Gonçalo do Amarante",null,37,NULL,NULL,NULL
38,"Ali George",011.818.783-92,"2024-08-09 06:41:23","2025-03-29 05:06:42",Macaíba,null,38,NULL,NULL,NULL
39,"Carla Hendricks",457.747.826-38,"2024-06-19 23:09:46","2025-06-03 02:59:15",Macaíba,null,39,NULL,NULL,NULL
40,"Sawyer Gates",108.254.136-81,"2025-07-14 23:54:18","2025-07-07 08:13:11",Macaíba,null,40,NULL,NULL,NULL
41,"Finn Wilcox",203.599.407-64,"2023-11-21 13:26:42","2024-02-25 23:17:45",Ceará-Mirim,null,41,NULL,NULL,NULL
42,"Byron Sutton",957.343.763-17,"2024-01-15 08:17:56","2024-08-26 16:34:08",Parnamirim,null,42,NULL,NULL,NULL
43,"Charlotte Chandler",929.610.673-67,"2024-08-11 10:33:15","2024-06-25 13:03:41","São Gonçalo do Amarante",null,43,NULL,NULL,NULL
44,"Carol Camacho",797.928.183-40,"2025-04-12 11:06:38","2024-10-02 08:15:49",Ceará-Mirim,null,44,NULL,NULL,NULL
45,"Michelle Holmes",217.415.530-02,"2023-11-09 16:03:07","2024-12-21 13:56:30",Parnamirim,null,45,NULL,NULL,NULL
46,"Maia Frye",331.834.891-74,"2023-10-27 08:35:01","2024-07-16 09:18:59",Macaíba,null,46,NULL,NULL,NULL
47,"Blythe Lucas",631.442.059-12,"2024-10-31 21:59:04","2024-05-17 01:45:00",Extremoz,null,47,NULL,NULL,NULL
48,"Addison Robertson",264.427.447-72,"2024-02-28 01:19:59","2024-10-04 10:26:15",Natal,null,48,NULL,NULL,NULL
